@relation vreme

@attribute opis {hladno,toplo,vetrovno,dezevno,snezi}
@attribute temperatura NUMERIC
@attribute veter {0,5,10,20,50}
@attribute moznost_padavin {0,10,20,30,40,50,60,70,80,90,100}

@data
dezevno,27,0,20
vetrovno,30,50,10
toplo,6,20,0
snezi,0,5,30
toplo,8,5,90
toplo,25,20,20
hladno,27,10,100
dezevno,23,5,40
toplo,33,10,100
snezi,31,10,0
dezevno,10,0,70
hladno,27,5,40
dezevno,20,5,80
hladno,22,10,40
vetrovno,20,20,40
vetrovno,6,10,90
snezi,7,50,0
vetrovno,16,5,50
snezi,29,5,90
dezevno,3,0,90
snezi,21,20,60
dezevno,15,50,60
snezi,34,10,100
toplo,14,10,10
hladno,12,5,50
hladno,3,10,100
hladno,11,50,100
snezi,18,50,50
hladno,23,20,90
toplo,10,0,90
snezi,25,5,0
hladno,34,5,100
vetrovno,14,0,20
snezi,12,10,20
hladno,31,0,80
toplo,23,0,70
vetrovno,29,50,0
snezi,33,5,10
vetrovno,34,20,60
vetrovno,1,0,0
dezevno,16,5,0
toplo,21,10,0
hladno,18,10,20
dezevno,6,5,80
hladno,24,10,10
hladno,25,5,20
dezevno,4,10,10
dezevno,16,10,90
snezi,14,20,90
snezi,13,5,20
dezevno,18,20,40
hladno,33,10,40
snezi,32,5,30
dezevno,30,10,20
snezi,5,20,40
vetrovno,20,0,40
dezevno,32,50,40
hladno,4,20,50
dezevno,30,10,80
snezi,13,20,90
dezevno,25,20,50
dezevno,34,20,30
toplo,34,0,70
toplo,33,20,20
snezi,29,5,40
vetrovno,19,5,100
snezi,21,5,90
dezevno,10,20,90
toplo,1,5,90
toplo,29,10,90
vetrovno,11,0,0
dezevno,26,0,80
dezevno,10,5,80
vetrovno,12,10,90
dezevno,30,20,10
hladno,4,0,10
toplo,30,5,20
dezevno,1,10,70
toplo,29,5,70
dezevno,2,20,10
hladno,30,10,30
snezi,27,5,20
hladno,31,5,60
vetrovno,8,20,70
dezevno,20,5,0
dezevno,31,5,20
dezevno,0,5,80
vetrovno,11,10,100
toplo,24,50,90
dezevno,6,50,70
dezevno,26,20,10
dezevno,1,10,50
snezi,24,50,80
toplo,18,0,50
snezi,26,0,50
hladno,19,50,0
dezevno,11,20,30
dezevno,10,10,70
toplo,11,0,90
hladno,3,5,100
toplo,1,0,60
snezi,12,50,10
dezevno,33,0,50
toplo,34,0,50
snezi,24,50,10
hladno,10,0,90
snezi,23,5,100
hladno,6,0,80
vetrovno,28,10,80
hladno,15,5,20
dezevno,33,50,20
snezi,32,20,30
dezevno,23,10,80
toplo,28,0,30
toplo,25,0,10
vetrovno,20,20,10
vetrovno,17,20,60
vetrovno,25,0,30
snezi,13,5,60
dezevno,15,50,0
snezi,13,5,70
dezevno,18,50,40
dezevno,16,5,30
snezi,0,0,20
toplo,15,50,90
toplo,1,10,10
vetrovno,10,10,100
dezevno,13,5,90
snezi,7,0,80
vetrovno,19,20,40
dezevno,6,0,0
vetrovno,32,5,0
vetrovno,8,5,90
toplo,24,20,90
dezevno,9,5,40
hladno,26,0,20
hladno,7,10,0
snezi,13,20,90
snezi,31,5,20
hladno,9,0,30
hladno,14,10,90
dezevno,19,20,30
snezi,9,20,80
snezi,9,5,60
vetrovno,26,0,30
snezi,6,50,70
dezevno,4,50,90
hladno,30,50,70
hladno,20,10,80
hladno,21,50,80
toplo,10,10,30
toplo,14,50,30
dezevno,16,0,20
snezi,15,5,90
dezevno,2,20,20
toplo,22,20,60
vetrovno,25,50,30
vetrovno,5,5,60
dezevno,26,10,100
snezi,8,0,20
hladno,18,5,40
dezevno,2,10,50
toplo,25,10,70
toplo,3,0,50
dezevno,30,5,60
toplo,32,5,10
hladno,29,5,40
dezevno,1,10,20
toplo,24,0,80
hladno,29,5,60
snezi,3,0,20
vetrovno,0,0,60
dezevno,23,0,70
dezevno,2,0,10
hladno,5,10,50
snezi,5,20,50
vetrovno,12,5,30
vetrovno,18,5,60
toplo,3,10,30
hladno,23,5,90
vetrovno,11,0,80
toplo,14,5,60
hladno,4,5,40
hladno,24,50,0
snezi,33,0,60
vetrovno,16,50,60
vetrovno,10,10,0
hladno,12,10,10
toplo,2,5,50
snezi,32,5,100
hladno,8,20,70
dezevno,24,0,0
hladno,4,50,90
hladno,28,50,60
vetrovno,12,5,100
dezevno,22,50,10
hladno,8,10,70
vetrovno,23,0,50
snezi,9,20,50
toplo,3,0,20
dezevno,26,0,90
snezi,33,10,10
hladno,16,0,50
dezevno,25,5,50
snezi,26,50,40
